index,source_file,GateV,DrainI,source_line,setup_title
64,vgs-id2#1.xls,1.50005567073822,4.1925758864636e-08,65,Run6391
65,vgs-id2#1.xls,1.99993693828583,1.10885927995241e-07,66,Run6391
66,vgs-id2#1.xls,2.5002224445343,2.25350007099223e-07,67,Run6391
67,vgs-id2#1.xls,3.00013947486877,4.01530968474617e-07,68,Run6391
68,vgs-id2#1.xls,3.50036430358887,5.68759389807383e-07,69,Run6391
69,vgs-id2#1.xls,4.00036478042603,9.26966663428175e-07,70,Run6391
70,vgs-id2#1.xls,4.50045394897461,1.3841092822986e-06,71,Run6391
71,vgs-id2#1.xls,5.00010204315186,1.95162374438951e-06,72,Run6391
72,vgs-id2#1.xls,5.50022983551025,2.65598464466166e-06,73,Run6391
73,vgs-id2#1.xls,6.00051975250244,3.50897039425035e-06,74,Run6391
74,vgs-id2#1.xls,6.50038003921509,4.52484255220043e-06,75,Run6391
75,vgs-id2#1.xls,7.00057744979858,5.39358097739751e-06,76,Run6391
76,vgs-id2#1.xls,7.50020837783813,6.85345275996951e-06,77,Run6391
77,vgs-id2#1.xls,8.00025177001953,8.48211129778065e-06,78,Run6391
78,vgs-id2#1.xls,8.50016593933105,1.03052334452514e-05,79,Run6391
79,vgs-id2#1.xls,9.00038909912109,1.237968535861e-05,80,Run6391
80,vgs-id2#1.xls,9.50069332122803,1.46960019264952e-05,81,Run6391
81,vgs-id2#1.xls,10.0004549026489,1.72238178492989e-05,82,Run6391
82,vgs-id2#1.xls,10.5004205703735,2.00758349819807e-05,83,Run6391
83,vgs-id2#1.xls,11.0002174377441,2.31726644415176e-05,84,Run6391
84,vgs-id2#1.xls,11.5005121231079,2.64734189840965e-05,85,Run6391
85,vgs-id2#1.xls,12.0003805160522,3.01814143313095e-05,86,Run6391
86,vgs-id2#1.xls,12.5005435943604,3.41132363246288e-05,87,Run6391
87,vgs-id2#1.xls,13.0000762939453,3.85007006116211e-05,88,Run6391
88,vgs-id2#1.xls,13.5000438690186,4.31112057412975e-05,89,Run6391
89,vgs-id2#1.xls,14.000244140625,4.80099588457961e-05,90,Run6391
90,vgs-id2#1.xls,14.5000371932983,5.15681022079661e-05,91,Run6391
91,vgs-id2#1.xls,15.00026512146,5.74595069338102e-05,92,Run6391
92,vgs-id2#1.xls,15.4998207092285,6.33963718428276e-05,93,Run6391
93,vgs-id2#1.xls,15.9995956420898,6.97097348165698e-05,94,Run6391
94,vgs-id2#1.xls,16.4992580413818,7.6650656410493e-05,95,Run6391
95,vgs-id2#1.xls,16.9994735717773,8.35972823551856e-05,96,Run6391
96,vgs-id2#1.xls,17.4992828369141,9.10359885892831e-05,97,Run6391
